judul_film,tahun_film,durasi_film,batas_usia,sinopsis_film,rating_film,jumlah_perating
105. Argo,2012,2h,R,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",7.7,(644K)
106. The Lego Movie,2014,1h 40m,PG,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",7.7,(394K)
107. Crash,2004,1h 52m,R,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",7.7,(451K)
108. Silver Linings Playbook,2012,2h 2m,R,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",7.7,(749K)
109. Gravity,2013,1h 31m,PG-13,"Dr Ryan Stone, an engineer on her first time on a space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.",7.7,(870K)
110. Fried Green Tomatoes,1991,2h 10m,PG-13,"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe.",7.7,(85K)
111. Mulan,1998,1h 27m,G,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",7.7,(322K)
112. Toy Story 4,2019,1h 40m,G,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",7.7,(287K)
113. Star Trek Into Darkness,2013,2h 12m,PG-13,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",7.7,(500K)
114. Naked,1993,2h 11m,Not Rated,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,7.7,(45K)
115. Road to Perdition,2002,1h 57m,R,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",7.7,(288K)
